Начальный тираж;Начальная позиция;Конечный тираж;Конечная позиция;Числа
1;6;7;8;6,7,8,6,7,8
15;40;21;42;40,41,42,40,41,42
16;41;22;43;41,42,43,41,42,43
35;18;41;20;18,19,20,18,19,20
60;40;66;42;40,41,42,40,41,42
63;50;69;52;50,51,52,50,51,52
75;54;81;56;54,55,56,54,55,56
92;43;98;45;43,44,45,43,44,45
100;9;106;11;9,10,11,9,10,11
118;53;124;55;53,54,55,53,54,55
136;39;142;41;39,40,41,39,40,41
140;6;146;8;6,7,8,6,7,8
141;7;147;9;7,8,9,7,8,9
146;20;152;22;20,21,22,20,21,22
162;46;168;48;46,47,48,46,47,48
166;46;172;48;46,47,48,46,47,48
174;54;180;56;54,55,56,54,55,56
175;33;181;35;33,34,35,33,34,35
273;34;279;36;34,35,36,34,35,36
276;30;282;32;30,31,32,30,31,32
281;22;287;24;22,23,24,22,23,24
282;23;288;25;23,24,25,23,24,25
284;7;290;9;7,8,9,7,8,9
286;52;292;54;52,53,54,52,53,54
299;41;305;43;41,42,43,41,42,43
308;35;314;37;35,36,37,35,36,37
367;12;373;14;12,13,14,12,13,14
413;1;419;3;1,2,3,1,2,3
416;20;422;22;20,21,22,20,21,22
445;28;451;30;28,29,30,28,29,30
475;54;481;56;54,55,56,54,55,56
481;1;487;3;1,2,3,1,2,3
490;12;496;14;12,13,14,12,13,14
523;29;529;31;29,30,31,29,30,31
544;20;550;22;20,21,22,20,21,22
545;21;551;23;21,22,23,21,22,23
545;31;551;33;31,32,33,31,32,33
552;50;558;52;50,51,52,50,51,52
553;47;559;49;47,48,49,47,48,49
561;18;567;20;18,19,20,18,19,20
564;53;570;55;53,54,55,53,54,55
565;18;571;20;18,19,20,18,19,20
566;41;572;43;41,42,43,41,42,43
574;31;580;33;31,32,33,31,32,33
626;44;632;46;44,45,46,44,45,46
656;28;662;30;28,29,30,28,29,30
662;32;668;34;32,33,34,32,33,34
701;38;707;40;38,39,40,38,39,40
702;39;708;41;39,40,41,39,40,41
722;23;728;25;23,24,25,23,24,25
746;27;752;29;27,28,29,27,28,29
747;28;753;30;28,29,30,28,29,30
765;57;771;59;57,58,59,57,58,59
768;21;774;23;21,22,23,21,22,23
768;25;774;27;25,26,27,25,26,27
786;9;792;11;9,10,11,9,10,11
846;32;852;34;32,33,34,32,33,34
850;32;856;34;32,33,34,32,33,34
851;33;857;35;33,34,35,33,34,35
852;34;858;36;34,35,36,34,35,36
854;11;860;13;11,12,13,11,12,13
861;1;867;3;1,2,3,1,2,3
871;17;877;19;17,18,19,17,18,19
876;53;882;55;53,54,55,53,54,55
877;54;883;56;54,55,56,54,55,56
891;10;897;12;10,11,12,10,11,12
897;55;903;57;55,56,57,55,56,57
920;7;926;9;7,8,9,7,8,9
921;8;927;10;8,9,10,8,9,10
951;18;957;20;18,19,20,18,19,20
952;19;958;21;19,20,21,19,20,21
952;46;958;48;46,47,48,46,47,48
994;16;1000;18;16,17,18,16,17,18
