№ Квадрата;Четные;Нечетные;Количество;Числа квадрата;Шанс
1;0;1;19;1_2_11_12;0,0042
1;1;0;19;1_2_11_12;0,0042
1;0;0;19;1_2_11_12;0,0042
1;1;1;22;1_2_11_12;0,0049
1;2;1;8;1_2_11_12;0,0018
1;0;2;6;1_2_11_12;0,0013
1;2;0;4;1_2_11_12;0,0009
1;2;2;2;1_2_11_12;0,0004
1;1;2;1;1_2_11_12;0,0002
2;0;1;24;2_3_12_13;0,0053
2;1;0;22;2_3_12_13;0,0049
2;0;0;19;2_3_12_13;0,0042
2;1;1;18;2_3_12_13;0,004
2;2;1;8;2_3_12_13;0,0018
2;2;0;6;2_3_12_13;0,0013
2;0;2;1;2_3_12_13;0,0002
2;1;2;2;2_3_12_13;0,0004
3;1;1;26;3_4_13_14;0,0058
3;0;1;20;3_4_13_14;0,0044
3;1;0;22;3_4_13_14;0,0049
3;0;0;20;3_4_13_14;0,0044
3;2;0;5;3_4_13_14;0,0011
3;2;1;4;3_4_13_14;0,0009
3;0;2;3;3_4_13_14;0,0007
4;1;1;23;4_5_14_15;0,0051
4;0;0;20;4_5_14_15;0,0044
4;1;2;1;4_5_14_15;0,0002
4;0;2;4;4_5_14_15;0,0009
4;1;0;24;4_5_14_15;0,0053
4;0;1;19;4_5_14_15;0,0042
4;2;0;4;4_5_14_15;0,0009
4;2;1;5;4_5_14_15;0,0011
5;1;1;23;5_6_15_16;0,0051
5;2;0;3;5_6_15_16;0,0007
5;1;2;2;5_6_15_16;0,0004
5;1;0;20;5_6_15_16;0,0044
5;0;0;25;5_6_15_16;0,0056
5;2;1;6;5_6_15_16;0,0013
5;0;1;18;5_6_15_16;0,004
5;2;2;2;5_6_15_16;0,0004
5;0;2;1;5_6_15_16;0,0002
6;1;1;23;6_7_16_17;0,0051
6;2;1;4;6_7_16_17;0,0009
6;1;0;18;6_7_16_17;0,004
6;0;1;18;6_7_16_17;0,004
6;0;2;6;6_7_16_17;0,0013
6;2;0;5;6_7_16_17;0,0011
6;0;0;20;6_7_16_17;0,0044
6;1;2;4;6_7_16_17;0,0009
6;2;2;2;6_7_16_17;0,0004
7;0;1;22;7_8_17_18;0,0049
7;1;1;20;7_8_17_18;0,0044
7;0;0;16;7_8_17_18;0,0036
7;2;0;7;7_8_17_18;0,0016
7;1;2;6;7_8_17_18;0,0013
7;1;0;20;7_8_17_18;0,0044
7;2;2;2;7_8_17_18;0,0004
7;2;1;3;7_8_17_18;0,0007
7;0;2;4;7_8_17_18;0,0009
8;0;0;16;8_9_18_19;0,0036
8;1;0;15;8_9_18_19;0,0033
8;1;1;27;8_9_18_19;0,006
8;0;1;23;8_9_18_19;0,0051
8;2;1;5;8_9_18_19;0,0011
8;1;2;4;8_9_18_19;0,0009
8;2;0;7;8_9_18_19;0,0016
8;0;2;3;8_9_18_19;0,0007
9;1;0;20;9_10_19_20;0,0044
9;0;0;13;9_10_19_20;0,0029
9;0;1;22;9_10_19_20;0,0049
9;2;1;8;9_10_19_20;0,0018
9;1;1;25;9_10_19_20;0,0056
9;0;2;5;9_10_19_20;0,0011
9;2;0;5;9_10_19_20;0,0011
9;2;2;1;9_10_19_20;0,0002
9;1;2;1;9_10_19_20;0,0002
10;0;1;21;11_12_21_22;0,0047
10;1;0;19;11_12_21_22;0,0042
10;1;1;19;11_12_21_22;0,0042
10;0;0;21;11_12_21_22;0,0047
10;2;0;8;11_12_21_22;0,0018
10;2;1;4;11_12_21_22;0,0009
10;1;2;3;11_12_21_22;0,0007
10;0;2;5;11_12_21_22;0,0011
11;0;1;25;12_13_22_23;0,0056
11;1;0;20;12_13_22_23;0,0044
11;1;1;16;12_13_22_23;0,0036
11;0;0;16;12_13_22_23;0,0036
11;0;2;6;12_13_22_23;0,0013
11;2;0;6;12_13_22_23;0,0013
11;2;1;4;12_13_22_23;0,0009
11;1;2;5;12_13_22_23;0,0011
11;2;2;2;12_13_22_23;0,0004
12;2;1;1;13_14_23_24;0,0002
12;0;1;21;13_14_23_24;0,0047
12;1;0;20;13_14_23_24;0,0044
12;1;1;23;13_14_23_24;0,0051
12;0;0;20;13_14_23_24;0,0044
12;1;2;4;13_14_23_24;0,0009
12;0;2;8;13_14_23_24;0,0018
12;2;0;2;13_14_23_24;0,0004
12;2;2;1;13_14_23_24;0,0002
13;2;0;3;14_15_24_25;0,0007
13;0;0;24;14_15_24_25;0,0053
13;1;1;19;14_15_24_25;0,0042
13;1;0;21;14_15_24_25;0,0047
13;0;1;22;14_15_24_25;0,0049
13;1;2;7;14_15_24_25;0,0016
13;0;2;3;14_15_24_25;0,0007
13;2;1;1;14_15_24_25;0,0002
14;0;0;22;15_16_25_26;0,0049
14;1;0;22;15_16_25_26;0,0049
14;2;1;3;15_16_25_26;0,0007
14;1;1;20;15_16_25_26;0,0044
14;0;1;19;15_16_25_26;0,0042
14;1;2;4;15_16_25_26;0,0009
14;2;0;4;15_16_25_26;0,0009
14;0;2;4;15_16_25_26;0,0009
14;2;2;2;15_16_25_26;0,0004
15;0;1;19;16_17_26_27;0,0042
15;1;0;24;16_17_26_27;0,0053
15;2;1;4;16_17_26_27;0,0009
15;1;1;18;16_17_26_27;0,004
15;0;0;19;16_17_26_27;0,0042
15;1;2;4;16_17_26_27;0,0009
15;0;2;7;16_17_26_27;0,0016
15;2;2;1;16_17_26_27;0,0002
15;2;0;4;16_17_26_27;0,0009
16;0;1;21;17_18_27_28;0,0047
16;1;0;26;17_18_27_28;0,0058
16;1;1;17;17_18_27_28;0,0038
16;0;0;16;17_18_27_28;0,0036
16;2;0;5;17_18_27_28;0,0011
16;1;2;6;17_18_27_28;0,0013
16;2;2;3;17_18_27_28;0,0007
16;2;1;3;17_18_27_28;0,0007
16;0;2;3;17_18_27_28;0,0007
17;0;0;23;18_19_28_29;0,0051
17;1;0;31;18_19_28_29;0,0069
17;0;2;6;18_19_28_29;0,0013
17;0;1;11;18_19_28_29;0,0024
17;2;1;1;18_19_28_29;0,0002
17;1;2;3;18_19_28_29;0,0007
17;1;1;15;18_19_28_29;0,0033
17;2;0;8;18_19_28_29;0,0018
17;2;2;2;18_19_28_29;0,0004
18;0;0;27;19_20_29_30;0,006
18;1;0;27;19_20_29_30;0,006
18;0;2;6;19_20_29_30;0,0013
18;1;1;12;19_20_29_30;0,0027
18;1;2;4;19_20_29_30;0,0009
18;0;1;10;19_20_29_30;0,0022
18;2;0;8;19_20_29_30;0,0018
18;2;2;1;19_20_29_30;0,0002
18;2;1;5;19_20_29_30;0,0011
19;0;0;22;21_22_31_32;0,0049
19;1;2;4;21_22_31_32;0,0009
19;0;1;30;21_22_31_32;0,0067
19;1;1;17;21_22_31_32;0,0038
19;1;0;17;21_22_31_32;0,0038
19;2;2;1;21_22_31_32;0,0002
19;2;0;1;21_22_31_32;0,0002
19;0;2;5;21_22_31_32;0,0011
19;2;1;3;21_22_31_32;0,0007
20;0;1;23;22_23_32_33;0,0051
20;1;1;19;22_23_32_33;0,0042
20;0;0;25;22_23_32_33;0,0056
20;0;2;9;22_23_32_33;0,002
20;1;0;14;22_23_32_33;0,0031
20;2;2;2;22_23_32_33;0,0004
20;1;2;5;22_23_32_33;0,0011
20;2;1;2;22_23_32_33;0,0004
20;2;0;1;22_23_32_33;0,0002
21;1;1;23;23_24_33_34;0,0051
21;1;0;16;23_24_33_34;0,0036
21;2;1;3;23_24_33_34;0,0007
21;2;0;6;23_24_33_34;0,0013
21;0;0;18;23_24_33_34;0,004
21;2;2;3;23_24_33_34;0,0007
21;0;1;18;23_24_33_34;0,004
21;0;2;10;23_24_33_34;0,0022
21;1;2;3;23_24_33_34;0,0007
22;1;1;22;24_25_34_35;0,0049
22;1;0;15;24_25_34_35;0,0033
22;2;0;8;24_25_34_35;0,0018
22;2;1;3;24_25_34_35;0,0007
22;0;1;22;24_25_34_35;0,0049
22;0;2;6;24_25_34_35;0,0013
22;0;0;18;24_25_34_35;0,004
22;1;2;5;24_25_34_35;0,0011
22;2;2;1;24_25_34_35;0,0002
23;0;1;20;25_26_35_36;0,0044
23;0;0;17;25_26_35_36;0,0038
23;1;1;19;25_26_35_36;0,0042
23;1;0;23;25_26_35_36;0,0051
23;2;1;8;25_26_35_36;0,0018
23;0;2;6;25_26_35_36;0,0013
23;1;2;4;25_26_35_36;0,0009
23;2;0;1;25_26_35_36;0,0002
23;2;2;2;25_26_35_36;0,0004
24;0;0;24;26_27_36_37;0,0053
24;1;1;22;26_27_36_37;0,0049
24;1;0;21;26_27_36_37;0,0047
24;0;1;15;26_27_36_37;0,0033
24;2;1;5;26_27_36_37;0,0011
24;1;2;3;26_27_36_37;0,0007
24;0;2;4;26_27_36_37;0,0009
24;2;0;6;26_27_36_37;0,0013
25;0;0;19;27_28_37_38;0,0042
25;1;0;25;27_28_37_38;0,0056
25;0;1;23;27_28_37_38;0,0051
25;2;0;7;27_28_37_38;0,0016
25;1;1;16;27_28_37_38;0,0036
25;0;2;5;27_28_37_38;0,0011
25;1;2;2;27_28_37_38;0,0004
25;2;1;3;27_28_37_38;0,0007
26;0;1;21;28_29_38_39;0,0047
26;1;1;21;28_29_38_39;0,0047
26;2;0;4;28_29_38_39;0,0009
26;0;2;6;28_29_38_39;0,0013
26;0;0;20;28_29_38_39;0,0044
26;1;2;1;28_29_38_39;0,0002
26;1;0;21;28_29_38_39;0,0047
26;2;1;6;28_29_38_39;0,0013
27;0;1;22;29_30_39_40;0,0049
27;2;1;5;29_30_39_40;0,0011
27;0;0;21;29_30_39_40;0,0047
27;1;2;5;29_30_39_40;0,0011
27;1;0;17;29_30_39_40;0,0038
27;0;2;1;29_30_39_40;0,0002
27;1;1;21;29_30_39_40;0,0047
27;2;0;7;29_30_39_40;0,0016
27;2;2;1;29_30_39_40;0,0002
28;1;1;12;31_32_41_42;0,0027
28;2;2;3;31_32_41_42;0,0007
28;0;1;27;31_32_41_42;0,006
28;0;0;20;31_32_41_42;0,0044
28;2;0;5;31_32_41_42;0,0011
28;1;0;16;31_32_41_42;0,0036
28;1;2;5;31_32_41_42;0,0011
28;2;1;7;31_32_41_42;0,0016
28;0;2;5;31_32_41_42;0,0011
29;1;1;22;32_33_42_43;0,0049
29;2;1;7;32_33_42_43;0,0016
29;0;1;30;32_33_42_43;0,0067
29;0;0;18;32_33_42_43;0,004
29;2;0;7;32_33_42_43;0,0016
29;1;0;9;32_33_42_43;0,002
29;2;2;1;32_33_42_43;0,0002
29;0;2;4;32_33_42_43;0,0009
29;1;2;2;32_33_42_43;0,0004
30;0;1;28;33_34_43_44;0,0062
30;2;1;5;33_34_43_44;0,0011
30;1;1;26;33_34_43_44;0,0058
30;2;0;6;33_34_43_44;0,0013
30;1;0;18;33_34_43_44;0,004
30;0;0;10;33_34_43_44;0,0022
30;1;2;6;33_34_43_44;0,0013
30;0;2;1;33_34_43_44;0,0002
31;0;2;5;34_35_44_45;0,0011
31;2;0;3;34_35_44_45;0,0007
31;1;0;27;34_35_44_45;0,006
31;2;2;3;34_35_44_45;0,0007
31;0;1;26;34_35_44_45;0,0058
31;1;1;19;34_35_44_45;0,0042
31;0;0;8;34_35_44_45;0,0018
31;1;2;4;34_35_44_45;0,0009
31;2;1;5;34_35_44_45;0,0011
32;0;2;9;35_36_45_46;0,002
32;1;0;15;35_36_45_46;0,0033
32;1;2;2;35_36_45_46;0,0004
32;0;0;19;35_36_45_46;0,0042
32;1;1;23;35_36_45_46;0,0051
32;0;1;19;35_36_45_46;0,0042
32;2;1;8;35_36_45_46;0,0018
32;2;2;1;35_36_45_46;0,0002
32;2;0;4;35_36_45_46;0,0009
33;0;0;21;36_37_46_47;0,0047
33;1;0;21;36_37_46_47;0,0047
33;1;1;17;36_37_46_47;0,0038
33;0;1;22;36_37_46_47;0,0049
33;1;2;2;36_37_46_47;0,0004
33;2;1;5;36_37_46_47;0,0011
33;2;0;7;36_37_46_47;0,0016
33;0;2;4;36_37_46_47;0,0009
33;2;2;1;36_37_46_47;0,0002
34;0;0;19;37_38_47_48;0,0042
34;1;0;21;37_38_47_48;0,0047
34;0;1;24;37_38_47_48;0,0053
34;1;1;14;37_38_47_48;0,0031
