Месяц;№ Шара;Кол-во выпадений;Шанс (%);Тип
январь;17;26;0,0699;Частое
январь;9;26;0,0699;Частое
январь;8;24;0,0645;Частое
январь;14;23;0,0618;Частое
январь;1;23;0,0618;Частое
январь;19;21;0,0565;Частое
январь;16;20;0,0538;Частое
январь;18;19;0,0511;Частое
январь;3;19;0,0511;Частое
январь;2;18;0,0484;Частое
январь;7;13;0,0349;Редкое
январь;6;13;0,0349;Редкое
январь;15;14;0,0376;Редкое
январь;11;15;0,0403;Редкое
январь;20;15;0,0403;Редкое
январь;4;15;0,0403;Редкое
январь;5;16;0,043;Редкое
январь;10;17;0,0457;Редкое
январь;13;17;0,0457;Редкое
январь;2;18;0,0484;Редкое
февраль;5;26;0,0774;Частое
февраль;18;22;0,0655;Частое
февраль;3;21;0,0625;Частое
февраль;10;21;0,0625;Частое
февраль;4;20;0,0595;Частое
февраль;6;18;0,0536;Частое
февраль;20;18;0,0536;Частое
февраль;12;18;0,0536;Частое
февраль;19;17;0,0506;Частое
февраль;15;17;0,0506;Частое
февраль;16;12;0,0357;Редкое
февраль;11;12;0,0357;Редкое
февраль;17;12;0,0357;Редкое
февраль;9;12;0,0357;Редкое
февраль;8;13;0,0387;Редкое
февраль;14;13;0,0387;Редкое
февраль;2;16;0,0476;Редкое
февраль;7;16;0,0476;Редкое
февраль;1;16;0,0476;Редкое
февраль;13;16;0,0476;Редкое
март;8;25;0,0672;Частое
март;2;24;0,0645;Частое
март;15;24;0,0645;Частое
март;13;24;0,0645;Частое
март;1;22;0,0591;Частое
март;3;21;0,0565;Частое
март;7;20;0,0538;Частое
март;19;20;0,0538;Частое
март;11;20;0,0538;Частое
март;20;19;0,0511;Частое
март;10;9;0,0242;Редкое
март;4;11;0,0296;Редкое
март;6;13;0,0349;Редкое
март;5;16;0,043;Редкое
март;12;17;0,0457;Редкое
март;14;17;0,0457;Редкое
март;17;17;0,0457;Редкое
март;16;17;0,0457;Редкое
март;18;18;0,0484;Редкое
март;9;18;0,0484;Редкое
апрель;3;27;0,075;Частое
апрель;8;27;0,075;Частое
апрель;6;24;0,0667;Частое
апрель;17;22;0,0611;Частое
апрель;1;19;0,0528;Частое
апрель;12;19;0,0528;Частое
апрель;14;19;0,0528;Частое
апрель;13;18;0,05;Частое
апрель;19;18;0,05;Частое
апрель;5;17;0,0472;Частое
апрель;15;13;0,0361;Редкое
апрель;9;14;0,0389;Редкое
апрель;10;14;0,0389;Редкое
апрель;18;14;0,0389;Редкое
апрель;11;15;0,0417;Редкое
апрель;16;15;0,0417;Редкое
апрель;7;16;0,0444;Редкое
апрель;4;16;0,0444;Редкое
апрель;20;16;0,0444;Редкое
апрель;5;17;0,0472;Редкое
май;9;27;0,0726;Частое
май;19;25;0,0672;Частое
май;4;25;0,0672;Частое
май;15;24;0,0645;Частое
май;17;22;0,0591;Частое
май;8;21;0,0565;Частое
май;11;21;0,0565;Частое
май;10;21;0,0565;Частое
май;5;19;0,0511;Частое
май;1;18;0,0484;Частое
май;12;12;0,0323;Редкое
май;14;12;0,0323;Редкое
май;6;14;0,0376;Редкое
май;13;15;0,0403;Редкое
май;20;15;0,0403;Редкое
май;16;15;0,0403;Редкое
май;18;15;0,0403;Редкое
май;3;16;0,043;Редкое
май;7;17;0,0457;Редкое
май;1;18;0,0484;Редкое
июнь;8;30;0,0714;Частое
июнь;17;27;0,0643;Частое
июнь;20;27;0,0643;Частое
июнь;12;26;0,0619;Частое
июнь;2;25;0,0595;Частое
июнь;5;23;0,0548;Частое
июнь;9;21;0,05;Частое
июнь;3;21;0,05;Частое
июнь;11;21;0,05;Частое
июнь;18;20;0,0476;Частое
июнь;16;16;0,0381;Редкое
июнь;6;16;0,0381;Редкое
июнь;4;18;0,0429;Редкое
июнь;13;18;0,0429;Редкое
июнь;1;18;0,0429;Редкое
июнь;19;18;0,0429;Редкое
июнь;7;18;0,0429;Редкое
июнь;15;19;0,0452;Редкое
июнь;14;19;0,0452;Редкое
июнь;10;19;0,0452;Редкое
октябрь;17;4;0,1111;Частое
октябрь;3;3;0,0833;Частое
октябрь;19;3;0,0833;Частое
октябрь;10;3;0,0833;Частое
октябрь;6;3;0,0833;Частое
октябрь;1;2;0,0556;Частое
октябрь;5;2;0,0556;Частое
октябрь;18;2;0,0556;Частое
октябрь;4;2;0,0556;Частое
октябрь;7;2;0,0556;Частое
октябрь;12;1;0,0278;Редкое
октябрь;11;1;0,0278;Редкое
октябрь;13;1;0,0278;Редкое
октябрь;20;1;0,0278;Редкое
октябрь;2;1;0,0278;Редкое
октябрь;16;1;0,0278;Редкое
октябрь;1;2;0,0556;Редкое
октябрь;5;2;0,0556;Редкое
октябрь;18;2;0,0556;Редкое
октябрь;4;2;0,0556;Редкое
ноябрь;13;26;0,0722;Частое
ноябрь;10;24;0,0667;Частое
ноябрь;5;21;0,0583;Частое
ноябрь;4;21;0,0583;Частое
ноябрь;19;20;0,0556;Частое
ноябрь;14;19;0,0528;Частое
ноябрь;11;19;0,0528;Частое
ноябрь;12;19;0,0528;Частое
ноябрь;8;18;0,05;Частое
ноябрь;15;18;0,05;Частое
ноябрь;16;12;0,0333;Редкое
ноябрь;1;13;0,0361;Редкое
ноябрь;6;14;0,0389;Редкое
ноябрь;20;15;0,0417;Редкое
ноябрь;2;16;0,0444;Редкое
ноябрь;17;16;0,0444;Редкое
ноябрь;3;17;0,0472;Редкое
ноябрь;18;17;0,0472;Редкое
ноябрь;9;17;0,0472;Редкое
ноябрь;8;18;0,05;Редкое
декабрь;4;25;0,0672;Частое
декабрь;18;25;0,0672;Частое
декабрь;17;24;0,0645;Частое
декабрь;13;23;0,0618;Частое
декабрь;14;23;0,0618;Частое
декабрь;11;22;0,0591;Частое
декабрь;1;22;0,0591;Частое
декабрь;19;20;0,0538;Частое
декабрь;16;20;0,0538;Частое
декабрь;3;19;0,0511;Частое
декабрь;9;8;0,0215;Редкое
декабрь;10;12;0,0323;Редкое
