День недели;№ Шара;Кол-во выпадений;Шанс (%);Тип
среда;7;30;0,0694;Частое
среда;18;29;0,0671;Частое
среда;20;29;0,0671;Частое
среда;1;26;0,0602;Частое
среда;4;26;0,0602;Частое
среда;8;24;0,0556;Частое
среда;2;23;0,0532;Частое
среда;5;23;0,0532;Частое
среда;6;23;0,0532;Частое
среда;12;21;0,0486;Частое
среда;14;13;0,0301;Редкое
среда;3;16;0,037;Редкое
среда;13;16;0,037;Редкое
среда;9;17;0,0394;Редкое
среда;10;18;0,0417;Редкое
среда;11;18;0,0417;Редкое
среда;17;19;0,044;Редкое
среда;15;20;0,0463;Редкое
среда;16;20;0,0463;Редкое
среда;12;21;0,0486;Редкое
четверг;18;31;0,0718;Частое
четверг;12;29;0,0671;Частое
четверг;1;26;0,0602;Частое
четверг;4;26;0,0602;Частое
четверг;15;26;0,0602;Частое
четверг;10;25;0,0579;Частое
четверг;11;25;0,0579;Частое
четверг;5;23;0,0532;Частое
четверг;9;23;0,0532;Частое
четверг;17;23;0,0532;Частое
четверг;20;10;0,0231;Редкое
четверг;3;16;0,037;Редкое
четверг;13;16;0,037;Редкое
четверг;19;16;0,037;Редкое
четверг;14;17;0,0394;Редкое
четверг;6;18;0,0417;Редкое
четверг;16;19;0,044;Редкое
четверг;7;20;0,0463;Редкое
четверг;8;21;0,0486;Редкое
четверг;2;22;0,0509;Редкое
пятница;8;30;0,0694;Частое
пятница;4;28;0,0648;Частое
пятница;9;28;0,0648;Частое
пятница;18;27;0,0625;Частое
пятница;7;25;0,0579;Частое
пятница;2;24;0,0556;Частое
пятница;16;23;0,0532;Частое
пятница;20;23;0,0532;Частое
пятница;14;22;0,0509;Частое
пятница;3;21;0,0486;Частое
пятница;6;15;0,0347;Редкое
пятница;19;15;0,0347;Редкое
пятница;10;16;0,037;Редкое
пятница;5;17;0,0394;Редкое
пятница;17;17;0,0394;Редкое
пятница;1;19;0,044;Редкое
пятница;11;20;0,0463;Редкое
пятница;12;20;0,0463;Редкое
пятница;3;21;0,0486;Редкое
пятница;13;21;0,0486;Редкое
суббота;17;30;0,0694;Частое
суббота;10;29;0,0671;Частое
суббота;16;28;0,0648;Частое
суббота;7;26;0,0602;Частое
суббота;15;25;0,0579;Частое
суббота;6;24;0,0556;Частое
суббота;13;23;0,0532;Частое
суббота;1;22;0,0509;Частое
суббота;20;22;0,0509;Частое
суббота;2;21;0,0486;Частое
суббота;19;10;0,0231;Редкое
суббота;4;16;0,037;Редкое
суббота;8;17;0,0394;Редкое
суббота;9;18;0,0417;Редкое
суббота;11;19;0,044;Редкое
суббота;3;20;0,0463;Редкое
суббота;12;20;0,0463;Редкое
суббота;14;20;0,0463;Редкое
суббота;2;21;0,0486;Редкое
суббота;5;21;0,0486;Редкое
воскресенье;18;30;0,0694;Частое
воскресенье;2;26;0,0602;Частое
воскресенье;17;26;0,0602;Частое
воскресенье;3;25;0,0579;Частое
воскресенье;8;24;0,0556;Частое
воскресенье;16;24;0,0556;Частое
воскресенье;11;23;0,0532;Частое
воскресенье;4;22;0,0509;Частое
воскресенье;5;22;0,0509;Частое
воскресенье;12;21;0,0486;Частое
воскресенье;19;16;0,037;Редкое
воскресенье;1;17;0,0394;Редкое
воскресенье;9;17;0,0394;Редкое
воскресенье;10;18;0,0417;Редкое
воскресенье;6;19;0,044;Редкое
воскресенье;7;19;0,044;Редкое
воскресенье;14;20;0,0463;Редкое
воскресенье;12;21;0,0486;Редкое
воскресенье;13;21;0,0486;Редкое
воскресенье;15;21;0,0486;Редкое
понедельник;20;34;0,081;Частое
понедельник;12;28;0,0667;Частое
понедельник;1;27;0,0643;Частое
понедельник;11;27;0,0643;Частое
понедельник;16;25;0,0595;Частое
понедельник;5;24;0,0571;Частое
понедельник;8;23;0,0548;Частое
понедельник;7;22;0,0524;Частое
понедельник;17;22;0,0524;Частое
понедельник;6;21;0,05;Частое
понедельник;9;9;0,0214;Редкое
понедельник;3;13;0,031;Редкое
понедельник;13;14;0,0333;Редкое
понедельник;15;16;0,0381;Редкое
понедельник;10;17;0,0405;Редкое
понедельник;4;19;0,0452;Редкое
понедельник;14;19;0,0452;Редкое
понедельник;19;19;0,0452;Редкое
понедельник;2;20;0,0476;Редкое
понедельник;6;21;0,05;Редкое
вторник;2;30;0,0714;Частое
вторник;11;27;0,0643;Частое
вторник;14;27;0,0643;Частое
вторник;16;26;0,0619;Частое
вторник;17;26;0,0619;Частое
вторник;9;23;0,0548;Частое
вторник;15;23;0,0548;Частое
вторник;18;23;0,0548;Частое
вторник;19;23;0,0548;Частое
вторник;1;22;0,0524;Частое
вторник;4;13;0,031;Редкое
вторник;7;14;0,0333;Редкое
вторник;10;14;0,0333;Редкое
вторник;5;16;0,0381;Редкое
вторник;20;16;0,0381;Редкое
вторник;3;17;0,0405;Редкое
вторник;6;18;0,0429;Редкое
вторник;12;20;0,0476;Редкое
вторник;8;21;0,05;Редкое
вторник;13;21;0,05;Редкое
