№ Тиражей;№Поз 1;№Поз 2;№Поз 3;№Поз 4;№Поз 5;№Поз 6;№Поз 7;№Поз 8;№Поз 9;№Поз 10;№Поз 11;№Поз 12;№Поз 13;№Поз 14;№Поз 15;№Поз 16;№Поз 17;№Поз 18;№Поз 19;№Поз 20
1_10;2,00000000;2,50000000;2,50000000;2,50000000;2,00000000;1,66666667;2,00000000;2,50000000;3,33333333;2,50000000;5,00000000;3,33333333;3,33333333;5,00000000;3,33333333;3,33333333;3,33333333;2,50000000;3,33333333;5,00000000
2_11;3,33333333;2,00000000;2,50000000;2,00000000;1,66666667;3,33333333;3,33333333;2,50000000;2,50000000;2,50000000;5,00000000;5,00000000;3,33333333;10,00000000;3,33333333;3,33333333;3,33333333;2,00000000;2,50000000;2,00000000
3_12;2,50000000;2,00000000;3,33333333;2,00000000;3,33333333;2,50000000;2,50000000;2,50000000;1,42857143;2,00000000;5,00000000;5,00000000;3,33333333;-;5,00000000;5,00000000;3,33333333;3,33333333;3,33333333;5,00000000
4_13;3,33333333;2,50000000;2,50000000;2,00000000;2,00000000;5,00000000;2,00000000;2,50000000;2,00000000;2,00000000;2,00000000;10,00000000;2,50000000;2,00000000;5,00000000;3,33333333;5,00000000;1,66666667;5,00000000;3,33333333
5_14;3,33333333;10,00000000;2,00000000;2,50000000;2,50000000;2,00000000;2,00000000;5,00000000;3,33333333;3,33333333;2,50000000;3,33333333;5,00000000;2,50000000;3,33333333;2,00000000;2,50000000;2,50000000;2,00000000;10,00000000
6_15;2,00000000;3,33333333;1,66666667;3,33333333;3,33333333;3,33333333;2,50000000;2,00000000;5,00000000;1,66666667;3,33333333;10,00000000;1,66666667;2,00000000;3,33333333;2,00000000;10,00000000;2,50000000;3,33333333;5,00000000
7_16;2,50000000;2,00000000;2,50000000;10,00000000;3,33333333;2,00000000;5,00000000;2,00000000;5,00000000;2,50000000;2,00000000;3,33333333;3,33333333;3,33333333;3,33333333;3,33333333;3,33333333;2,50000000;5,00000000;1,66666667
8_17;5,00000000;5,00000000;10,00000000;2,00000000;5,00000000;2,50000000;5,00000000;3,33333333;2,50000000;2,00000000;3,33333333;2,50000000;3,33333333;5,00000000;3,33333333;1,66666667;3,33333333;2,00000000;2,00000000;3,33333333
9_18;2,50000000;2,00000000;3,33333333;3,33333333;1,66666667;1,66666667;3,33333333;2,50000000;3,33333333;3,33333333;5,00000000;5,00000000;2,50000000;2,50000000;5,00000000;2,50000000;3,33333333;3,33333333;3,33333333;3,33333333
10_19;2,50000000;3,33333333;10,00000000;2,00000000;2,50000000;2,50000000;3,33333333;2,00000000;5,00000000;1,66666667;3,33333333;2,00000000;2,00000000;10,00000000;5,00000000;2,00000000;2,50000000;3,33333333;3,33333333;3,33333333
