Месяц;№ Шара;Кол-во выпадений;Шанс (%);Тип
январь;45;5;0,625;Частое
январь;24;5;0,625;Частое
январь;43;4;0,5;Частое
январь;42;4;0,5;Частое
январь;23;4;0,5;Частое
январь;35;4;0,5;Частое
январь;17;4;0,5;Частое
январь;39;4;0,5;Частое
январь;21;4;0,5;Частое
январь;34;4;0,5;Частое
январь;11;1;0,125;Редкое
январь;14;1;0,125;Редкое
январь;51;1;0,125;Редкое
январь;47;1;0,125;Редкое
январь;22;1;0,125;Редкое
январь;27;1;0,125;Редкое
январь;50;1;0,125;Редкое
январь;9;1;0,125;Редкое
январь;36;1;0,125;Редкое
январь;2;1;0,125;Редкое
февраль;10;15;0,5357;Частое
февраль;39;14;0,5;Частое
февраль;18;14;0,5;Частое
февраль;12;13;0,4643;Частое
февраль;41;13;0,4643;Частое
февраль;58;13;0,4643;Частое
февраль;36;12;0,4286;Частое
февраль;40;12;0,4286;Частое
февраль;20;12;0,4286;Частое
февраль;42;12;0,4286;Частое
февраль;38;5;0,1786;Редкое
февраль;13;5;0,1786;Редкое
февраль;24;6;0,2143;Редкое
февраль;56;6;0,2143;Редкое
февраль;5;6;0,2143;Редкое
февраль;51;6;0,2143;Редкое
февраль;55;7;0,25;Редкое
февраль;22;7;0,25;Редкое
февраль;29;7;0,25;Редкое
февраль;25;7;0,25;Редкое
март;9;15;0,4839;Частое
март;35;15;0,4839;Частое
март;23;15;0,4839;Частое
март;1;15;0,4839;Частое
март;20;14;0,4516;Частое
март;59;14;0,4516;Частое
март;50;14;0,4516;Частое
март;38;14;0,4516;Частое
март;17;13;0,4194;Частое
март;43;13;0,4194;Частое
март;32;3;0,0968;Редкое
март;15;4;0,129;Редкое
март;19;6;0,1935;Редкое
март;22;6;0,1935;Редкое
март;46;6;0,1935;Редкое
март;29;6;0,1935;Редкое
март;7;7;0,2258;Редкое
март;16;7;0,2258;Редкое
март;10;7;0,2258;Редкое
март;37;8;0,2581;Редкое
апрель;57;16;0,5333;Частое
апрель;4;15;0,5;Частое
апрель;56;15;0,5;Частое
апрель;12;15;0,5;Частое
апрель;31;14;0,4667;Частое
апрель;52;14;0,4667;Частое
апрель;9;14;0,4667;Частое
апрель;53;13;0,4333;Частое
апрель;7;13;0,4333;Частое
апрель;55;13;0,4333;Частое
апрель;5;5;0,1667;Редкое
апрель;10;5;0,1667;Редкое
апрель;3;5;0,1667;Редкое
апрель;24;6;0,2;Редкое
апрель;54;6;0,2;Редкое
апрель;14;6;0,2;Редкое
апрель;37;6;0,2;Редкое
апрель;29;6;0,2;Редкое
апрель;8;6;0,2;Редкое
апрель;58;7;0,2333;Редкое
май;10;3;1;Частое
май;48;3;1;Частое
май;6;3;1;Частое
май;9;2;0,6667;Частое
май;45;2;0,6667;Частое
май;7;2;0,6667;Частое
май;39;2;0,6667;Частое
май;57;2;0,6667;Частое
май;55;2;0,6667;Частое
май;24;2;0,6667;Частое
май;33;1;0,3333;Редкое
май;30;1;0,3333;Редкое
май;37;1;0,3333;Редкое
май;17;1;0,3333;Редкое
май;8;1;0,3333;Редкое
май;13;1;0,3333;Редкое
май;35;1;0,3333;Редкое
май;47;1;0,3333;Редкое
май;52;1;0,3333;Редкое
май;40;1;0,3333;Редкое
