Начальный тираж;Начальная позиция;Конечный тираж;Конечная позиция;Числа
309;54;315;56;55,54,56,55,54,56,55,54,56
353;33;359;35;34,33,35,34,33,35,34,33,35
392;17;398;19;18,17,19,18,17,19,18,17,19
516;24;522;26;25,24,26,25,24,26,25,24,26
650;45;656;47;46,45,47,46,45,47,46,45,47
846;6;852;8;7,6,8,7,6,8,7,6,8
910;22;916;24;23,22,24,23,22,24,23,22,24
1076;9;1082;11;10,9,11,10,9,11,10,9,11
1346;33;1352;35;34,33,35,34,33,35,34,33,35
1357;18;1363;20;19,18,20,19,18,20,19,18,20
1509;52;1515;54;53,52,54,53,52,54,53,52,54
1578;55;1584;57;56,55,57,56,55,57,56,55,57
1591;58;1597;60;59,58,60,59,58,60,59,58,60
2340;39;2346;41;40,39,41,40,39,41,40,39,41
2517;30;2523;32;31,30,32,31,30,32,31,30,32
2602;9;2608;11;10,9,11,10,9,11,10,9,11
3271;4;3277;6;5,4,6,5,4,6,5,4,6
3317;54;3323;56;55,54,56,55,54,56,55,54,56
3353;22;3359;24;23,22,24,23,22,24,23,22,24
3575;16;3581;18;17,16,18,17,16,18,17,16,18
3988;43;3994;45;44,43,45,44,43,45,44,43,45
4036;21;4042;23;22,21,23,22,21,23,22,21,23
4504;36;4510;38;37,36,38,37,36,38,37,36,38
4759;21;4765;23;22,21,23,22,21,23,22,21,23
4890;5;4896;7;6,5,7,6,5,7,6,5,7
5581;26;5587;28;27,26,28,27,26,28,27,26,28
