Тираж;Дата;№П 1;№П 2;№П 3;№П 4;№П 5;№П 6;№П 7;№П 8;№П 9;№П 10;№П 11;№П 12;№П 13;№П 14;№П 15;№П 16;№П 17;№П 18;№П 19;№П 20
1;24.01.2010;Н;Ч;Н;Ч;Н;Н;Н;Ч;Н;Н;Н;Ч;Ч;Н;Н;Ч;Н;Н;Н;Ч
2;25.01.2010;Н;Ч;Н;Ч;Ч;Ч;Н;Ч;Ч;Н;Н;Ч;Ч;Н;Ч;Н;Ч;Н;Н;Ч
3;26.01.2010;Ч;Н;Н;Н;Ч;Ч;Н;Н;Н;Н;Ч;Ч;Н;Н;Ч;Н;Ч;Н;Ч;Н
4;27.01.2010;Ч;Н;Н;Н;Ч;Ч;Н;Ч;Н;Н;Ч;Ч;Н;Ч;Ч;Н;Ч;Н;Н;Ч
5;28.01.2010;Ч;Н;Ч;Н;Н;Ч;Ч;Н;Ч;Ч;Н;Ч;Н;Н;Ч;Ч;Ч;Н;Н;Ч
6;29.01.2010;Ч;Н;Н;Н;Ч;Ч;Ч;Н;Н;Ч;Н;Ч;Ч;Ч;Ч;Н;Н;Н;Н;Н
7;30.01.2010;Н;Н;Ч;Н;Н;Ч;Ч;Ч;Н;Н;Ч;Ч;Ч;Ч;Н;Ч;Ч;Н;Н;Ч
8;31.01.2010;Ч;Ч;Ч;Ч;Н;Ч;Н;Ч;Н;Н;Н;Ч;Ч;Ч;Н;Н;Н;Н;Ч;Н
9;01.02.2010;Н;Ч;Ч;Н;Ч;Н;Ч;Ч;Ч;Н;Ч;Ч;Ч;Н;Н;Ч;Н;Ч;Ч;Н
10;02.02.2010;Ч;Ч;Ч;Н;Н;Н;Н;Ч;Ч;Н;Н;Ч;Ч;Ч;Н;Ч;Ч;Н;Н;Н
