Начальный тираж;Начальная позиция;Конечный тираж;Конечная позиция;Числа
2;25;3;26;25,26,25,26
5;59;6;60;59,60,59,60
8;32;9;33;32,33,32,33
9;32;10;33;32,33,32,33
10;6;11;7;6,7,6,7
12;51;13;52;51,52,51,52
17;25;18;26;25,26,25,26
18;29;19;30;29,30,29,30
21;39;22;40;39,40,39,40
22;25;23;26;25,26,25,26
23;1;24;2;1,2,1,2
28;56;29;57;56,57,56,57
32;13;33;14;13,14,13,14
33;35;34;36;35,36,35,36
33;38;34;39;38,39,38,39
36;19;37;20;19,20,19,20
37;19;38;20;19,20,19,20
37;31;38;32;31,32,31,32
39;10;40;11;10,11,10,11
42;41;43;42;41,42,41,42
44;39;45;40;39,40,39,40
45;22;46;23;22,23,22,23
45;39;46;40;39,40,39,40
46;38;47;39;38,39,38,39
46;41;47;42;41,42,41,42
47;7;48;8;7,8,7,8
47;41;48;42;41,42,41,42
49;31;50;32;31,32,31,32
51;4;52;5;4,5,4,5
51;5;52;6;5,6,5,6
53;26;54;27;26,27,26,27
54;48;55;49;48,49,48,49
56;30;57;31;30,31,30,31
58;52;59;53;52,53,52,53
58;53;59;54;53,54,53,54
63;2;64;3;2,3,2,3
66;31;67;32;31,32,31,32
67;28;68;29;28,29,28,29
69;36;70;37;36,37,36,37
73;1;74;2;1,2,1,2
73;2;74;3;2,3,2,3
74;35;75;36;35,36,35,36
75;6;76;7;6,7,6,7
78;8;79;9;8,9,8,9
78;9;79;10;9,10,9,10
78;43;79;44;43,44,43,44
79;11;80;12;11,12,11,12
80;24;81;25;24,25,24,25
81;36;82;37;36,37,36,37
82;3;83;4;3,4,3,4
84;7;85;8;7,8,7,8
84;49;85;50;49,50,49,50
84;50;85;51;50,51,50,51
85;49;86;50;49,50,49,50
86;46;87;47;46,47,46,47
90;43;91;44;43,44,43,44
90;44;91;45;44,45,44,45
91;17;92;18;17,18,17,18
92;17;93;18;17,18,17,18
93;56;94;57;56,57,56,57
96;9;97;10;9,10,9,10
96;23;97;24;23,24,23,24
96;24;97;25;24,25,24,25
97;2;98;3;2,3,2,3
98;28;99;29;28,29,28,29
98;29;99;30;29,30,29,30
99;49;100;50;49,50,49,50
99;50;100;51;50,51,50,51
