День месяца;День недели;№ Шара;Кол-во выпадений;Шанс (%);Тип
1;понедельник;1;4;0,0952;Частое
1;понедельник;11;4;0,0952;Частое
1;понедельник;12;3;0,0714;Частое
1;понедельник;13;3;0,0714;Частое
1;понедельник;17;3;0,0714;Частое
1;понедельник;20;3;0,0714;Частое
1;понедельник;15;3;0,0714;Частое
1;понедельник;19;3;0,0714;Частое
1;понедельник;5;2;0,0476;Частое
1;понедельник;10;2;0,0476;Частое
1;понедельник;5;2;0,0476;Редкое
1;понедельник;10;2;0,0476;Редкое
1;понедельник;18;2;0,0476;Редкое
1;понедельник;6;2;0,0476;Редкое
1;понедельник;16;2;0,0476;Редкое
1;понедельник;8;2;0,0476;Редкое
1;понедельник;4;1;0,0238;Редкое
1;понедельник;7;1;0,0238;Редкое
1;понедельник;9;1;0,0238;Редкое
1;понедельник;14;1;0,0238;Редкое
1;среда;5;2;0,1667;Частое
1;среда;17;2;0,1667;Частое
1;среда;1;1;0,0833;Частое
1;среда;3;1;0,0833;Частое
1;среда;16;1;0,0833;Частое
1;среда;4;1;0,0833;Частое
1;среда;12;1;0,0833;Частое
1;среда;14;1;0,0833;Частое
1;среда;10;1;0,0833;Частое
1;среда;13;1;0,0833;Частое
1;среда;5;2;0,1667;Редкое
1;среда;17;2;0,1667;Редкое
1;среда;1;1;0,0833;Редкое
1;среда;3;1;0,0833;Редкое
1;среда;16;1;0,0833;Редкое
1;среда;4;1;0,0833;Редкое
1;среда;12;1;0,0833;Редкое
1;среда;14;1;0,0833;Редкое
1;среда;10;1;0,0833;Редкое
1;среда;13;1;0,0833;Редкое
1;четверг;6;2;0,1667;Частое
1;четверг;11;2;0,1667;Частое
1;четверг;15;2;0,1667;Частое
1;четверг;8;1;0,0833;Частое
1;четверг;18;1;0,0833;Частое
1;четверг;7;1;0,0833;Частое
1;четверг;14;1;0,0833;Частое
1;четверг;4;1;0,0833;Частое
1;четверг;10;1;0,0833;Частое
1;четверг;6;2;0,1667;Редкое
1;четверг;11;2;0,1667;Редкое
1;четверг;15;2;0,1667;Редкое
1;четверг;8;1;0,0833;Редкое
1;четверг;18;1;0,0833;Редкое
1;четверг;7;1;0,0833;Редкое
1;четверг;14;1;0,0833;Редкое
