№ Тиражей;№Поз 1;№Поз 2;№Поз 3;№Поз 4;№Поз 5;№Поз 6;№Поз 7;№Поз 8;№Поз 9;№Поз 10;№Поз 11;№Поз 12;№Поз 13;№Поз 14;№Поз 15;№Поз 16;№Поз 17;№Поз 18;№Поз 19;№Поз 20
1_10;2,00000000;5,00000000;2,00000000;5,00000000;2,00000000;5,00000000;1,66666667;2,50000000;1,66666667;1,66666667;5,00000000;2,00000000;2,50000000;2,50000000;1,66666667;3,33333333;5,00000000;2,50000000;3,33333333;5,00000000
2_11;5,00000000;2,50000000;3,33333333;2,50000000;3,33333333;3,33333333;2,50000000;3,33333333;10,00000000;2,50000000;2,50000000;3,33333333;2,50000000;5,00000000;2,50000000;2,50000000;3,33333333;3,33333333;3,33333333;5,00000000
3_12;3,33333333;10,00000000;3,33333333;3,33333333;2,50000000;3,33333333;3,33333333;3,33333333;3,33333333;3,33333333;2,50000000;3,33333333;3,33333333;3,33333333;3,33333333;2,50000000;3,33333333;2,50000000;2,00000000;3,33333333
4_13;2,50000000;3,33333333;2,00000000;5,00000000;3,33333333;3,33333333;2,00000000;5,00000000;2,00000000;2,00000000;5,00000000;3,33333333;2,50000000;5,00000000;3,33333333;3,33333333;2,00000000;3,33333333;3,33333333;10,00000000
5_14;5,00000000;5,00000000;3,33333333;3,33333333;3,33333333;5,00000000;2,50000000;3,33333333;2,50000000;2,50000000;3,33333333;3,33333333;2,00000000;2,50000000;2,00000000;2,00000000;2,50000000;2,00000000;3,33333333;3,33333333
6_15;5,00000000;3,33333333;2,50000000;2,00000000;2,00000000;2,50000000;3,33333333;2,50000000;3,33333333;2,00000000;3,33333333;3,33333333;10,00000000;2,50000000;3,33333333;1,66666667;5,00000000;2,00000000;3,33333333;5,00000000
7_16;2,50000000;3,33333333;2,50000000;2,50000000;3,33333333;3,33333333;3,33333333;2,00000000;2,50000000;2,00000000;5,00000000;2,00000000;3,33333333;2,50000000;5,00000000;2,50000000;2,50000000;2,50000000;3,33333333;3,33333333
8_17;3,33333333;10,00000000;1,66666667;3,33333333;2,00000000;2,00000000;3,33333333;1,66666667;2,50000000;2,00000000;2,50000000;10,00000000;5,00000000;3,33333333;3,33333333;10,00000000;2,50000000;1,66666667;10,00000000;3,33333333
9_18;2,50000000;10,00000000;3,33333333;3,33333333;3,33333333;3,33333333;1,66666667;2,00000000;2,00000000;3,33333333;3,33333333;10,00000000;5,00000000;3,33333333;3,33333333;3,33333333;3,33333333;5,00000000;1,66666667;3,33333333
10_19;2,50000000;5,00000000;2,50000000;2,50000000;2,50000000;5,00000000;2,50000000;1,66666667;2,50000000;2,50000000;2,50000000;2,50000000;1,66666667;3,33333333;3,33333333;5,00000000;2,00000000;5,00000000;5,00000000;3,33333333
11_20;2,50000000;3,33333333;5,00000000;2,00000000;10,00000000;1,66666667;3,33333333;1,66666667;1,66666667;2,50000000;2,50000000;3,33333333;-;2,00000000;2,50000000;3,33333333;2,00000000;3,33333333;5,00000000;5,00000000
12_21;1,42857143;2,00000000;5,00000000;3,33333333;3,33333333;2,50000000;1,66666667;2,50000000;1,42857143;2,50000000;5,00000000;3,33333333;5,00000000;2,50000000;1,66666667;3,33333333;2,50000000;2,50000000;2,50000000;2,50000000
13_22;3,33333333;5,00000000;3,33333333;5,00000000;5,00000000;2,50000000;2,50000000;2,50000000;3,33333333;2,50000000;2,50000000;3,33333333;5,00000000;-;3,33333333;5,00000000;5,00000000;3,33333333;3,33333333;3,33333333
14_23;5,00000000;2,50000000;2,50000000;3,33333333;3,33333333;3,33333333;1,66666667;2,50000000;2,00000000;3,33333333;1,66666667;2,00000000;2,50000000;3,33333333;2,50000000;5,00000000;2,00000000;2,50000000;3,33333333;1,66666667
15_24;2,00000000;3,33333333;2,50000000;2,50000000;2,00000000;3,33333333;2,00000000;2,50000000;3,33333333;5,00000000;3,33333333;2,00000000;3,33333333;-;3,33333333;3,33333333;2,00000000;3,33333333;3,33333333;2,50000000
16_25;3,33333333;1,66666667;2,50000000;2,50000000;2,50000000;3,33333333;1,66666667;1,66666667;2,00000000;3,33333333;2,00000000;10,00000000;2,50000000;2,50000000;1,66666667;5,00000000;2,50000000;1,66666667;10,00000000;2,50000000
17_26;3,33333333;3,33333333;2,50000000;1,66666667;1,66666667;5,00000000;1,66666667;2,50000000;2,50000000;2,00000000;10,00000000;2,50000000;3,33333333;3,33333333;10,00000000;3,33333333;10,00000000;2,00000000;2,00000000;3,33333333
