Тираж;Дата;Время;∑ чисел;∑ не выпавших;μ;⌓ Медиана;Повторения;σ²;σ;↑Max;↓Min;Чет;Нечет;Простые;Составные;Низкие;Высокие;Треугольные;Квадратные;Зеркальные
1;29.10.2025;12:01;34;176;11,3333;12;нет;42,8889;6,549;19;3;1;2;2;1;1;2;1;0;1
2;29.10.2025;15:01;16;194;5,3333;5;нет;13,5556;3,6818;10;1;1;2;1;1;3;0;2;1;2
3;29.10.2025;18:01;24;186;8;10;да;12,6667;3,559;11;3;1;2;2;1;2;1;2;0;2
4;29.10.2025;21:01;28;182;9,3333;6;нет;29,5556;5,4365;17;5;1;2;2;1;2;1;1;0;2
5;30.10.2025;12:01;36;174;12;17;да;60,6667;7,7889;18;1;1;2;1;1;1;2;1;1;1
6;30.10.2025;15:01;40;170;13,3333;13;да;8,2222;2,8674;17;10;1;2;2;1;1;2;1;0;0
7;30.10.2025;18:01;30;180;10;7;нет;42;6,4807;19;4;1;2;2;1;2;1;0;1;2
8;30.10.2025;21:01;44;166;14,6667;17;нет;16,2222;4,0277;18;9;1;2;1;2;1;2;0;1;1
9;31.10.2025;12:01;40;170;13,3333;14;нет;32,8889;5,7349;20;6;3;0;0;3;1;2;1;0;1
10;31.10.2025;15:01;22;188;7,3333;6;да;24,8889;4,9889;14;2;3;0;1;2;2;1;1;0;2
