День месяца;№ Шара;Кол-во выпадений;Шанс (%);Тип
1;8;13;0,2241;Частое
1;7;12;0,2069;Частое
1;20;11;0,1897;Частое
1;5;11;0,1897;Частое
1;18;11;0,1897;Частое
1;2;10;0,1724;Частое
1;11;10;0,1724;Частое
1;9;10;0,1724;Частое
1;17;9;0,1552;Частое
1;6;9;0,1552;Частое
1;19;8;0,1379;Редкое
1;13;8;0,1379;Редкое
1;16;7;0,1207;Редкое
1;14;7;0,1207;Редкое
1;15;7;0,1207;Редкое
1;1;7;0,1207;Редкое
1;4;7;0,1207;Редкое
1;10;6;0,1034;Редкое
1;12;6;0,1034;Редкое
1;3;5;0,0862;Редкое
2;7;14;0,2414;Частое
2;20;14;0,2414;Частое
2;5;12;0,2069;Частое
2;15;12;0,2069;Частое
2;17;11;0,1897;Частое
2;8;11;0,1897;Частое
2;3;10;0,1724;Частое
2;14;10;0,1724;Частое
2;19;9;0,1552;Частое
2;1;9;0,1552;Частое
2;6;8;0,1379;Редкое
2;11;8;0,1379;Редкое
2;12;8;0,1379;Редкое
2;2;8;0,1379;Редкое
2;18;7;0,1207;Редкое
2;10;6;0,1034;Редкое
2;13;5;0,0862;Редкое
2;9;5;0,0862;Редкое
2;4;4;0,069;Редкое
2;16;3;0,0517;Редкое
3;4;14;0,2414;Частое
3;11;11;0,1897;Частое
3;7;11;0,1897;Частое
3;12;10;0,1724;Частое
3;3;10;0,1724;Частое
3;17;10;0,1724;Частое
3;20;10;0,1724;Частое
3;8;9;0,1552;Частое
3;5;9;0,1552;Частое
3;16;9;0,1552;Частое
3;9;9;0,1552;Редкое
3;10;8;0,1379;Редкое
3;2;8;0,1379;Редкое
3;1;8;0,1379;Редкое
3;19;8;0,1379;Редкое
3;15;7;0,1207;Редкое
3;18;7;0,1207;Редкое
3;6;6;0,1034;Редкое
3;13;5;0,0862;Редкое
3;14;5;0,0862;Редкое
4;2;13;0,2241;Частое
4;10;12;0,2069;Частое
4;11;12;0,2069;Частое
4;17;12;0,2069;Частое
4;7;11;0,1897;Частое
4;14;11;0,1897;Частое
4;15;11;0,1897;Частое
4;9;10;0,1724;Частое
4;16;9;0,1552;Частое
4;5;8;0,1379;Частое
4;4;8;0,1379;Редкое
4;6;8;0,1379;Редкое
4;12;7;0,1207;Редкое
4;18;7;0,1207;Редкое
4;20;7;0,1207;Редкое
4;1;7;0,1207;Редкое
4;19;6;0,1034;Редкое
4;13;6;0,1034;Редкое
4;3;5;0,0862;Редкое
4;8;4;0,069;Редкое
5;11;14;0,2414;Частое
5;9;12;0,2069;Частое
5;4;11;0,1897;Частое
5;1;11;0,1897;Частое
5;16;11;0,1897;Частое
5;15;11;0,1897;Частое
5;3;10;0,1724;Частое
5;6;9;0,1552;Частое
5;7;9;0,1552;Частое
5;5;9;0,1552;Частое
5;19;8;0,1379;Редкое
5;14;8;0,1379;Редкое
5;10;7;0,1207;Редкое
5;12;7;0,1207;Редкое
5;18;7;0,1207;Редкое
5;8;7;0,1207;Редкое
5;20;7;0,1207;Редкое
5;13;6;0,1034;Редкое
5;17;6;0,1034;Редкое
5;2;4;0,069;Редкое
6;20;16;0,2857;Частое
6;14;14;0,25;Частое
6;9;12;0,2143;Частое
6;8;12;0,2143;Частое
6;13;11;0,1964;Частое
6;5;10;0,1786;Частое
6;18;10;0,1786;Частое
6;7;9;0,1607;Частое
6;19;9;0,1607;Частое
6;6;9;0,1607;Частое
6;12;8;0,1429;Редкое
6;17;7;0,125;Редкое
6;4;7;0,125;Редкое
6;1;6;0,1071;Редкое
6;2;6;0,1071;Редкое
6;11;6;0,1071;Редкое
6;16;6;0,1071;Редкое
6;3;4;0,0714;Редкое
6;15;3;0,0536;Редкое
6;10;3;0,0536;Редкое
7;2;12;0,25;Частое
7;20;12;0,25;Частое
7;15;11;0,2292;Частое
7;3;10;0,2083;Частое
7;17;10;0,2083;Частое
7;4;9;0,1875;Частое
7;14;9;0,1875;Частое
7;19;8;0,1667;Частое
7;1;8;0,1667;Частое
7;9;7;0,1458;Частое
7;18;7;0,1458;Редкое
7;12;6;0,125;Редкое
7;13;6;0,125;Редкое
7;5;5;0,1042;Редкое
7;16;5;0,1042;Редкое
7;10;4;0,0833;Редкое
7;6;4;0,0833;Редкое
7;8;4;0,0833;Редкое
7;7;4;0,0833;Редкое
7;11;3;0,0625;Редкое
8;8;10;0,2083;Частое
8;16;10;0,2083;Частое
8;12;9;0,1875;Частое
8;18;9;0,1875;Частое
8;20;9;0,1875;Частое
8;4;8;0,1667;Частое
8;10;8;0,1667;Частое
8;5;8;0,1667;Частое
8;9;8;0,1667;Частое
8;14;7;0,1458;Частое
8;7;7;0,1458;Редкое
8;6;7;0,1458;Редкое
8;15;6;0,125;Редкое
8;13;6;0,125;Редкое
8;1;6;0,125;Редкое
8;19;6;0,125;Редкое
8;3;6;0,125;Редкое
8;11;5;0,1042;Редкое
8;2;5;0,1042;Редкое
8;17;4;0,0833;Редкое
9;4;11;0,2292;Частое
9;3;11;0,2292;Частое
9;1;11;0,2292;Частое
9;14;10;0,2083;Частое
9;19;9;0,1875;Частое
9;8;8;0,1667;Частое
9;10;8;0,1667;Частое
9;13;8;0,1667;Частое
9;5;7;0,1458;Частое
9;11;7;0,1458;Частое
9;6;7;0,1458;Редкое
9;12;6;0,125;Редкое
9;17;6;0,125;Редкое
9;7;5;0,1042;Редкое
9;9;5;0,1042;Редкое
9;2;5;0,1042;Редкое
9;16;5;0,1042;Редкое
9;20;5;0,1042;Редкое
9;15;5;0,1042;Редкое
9;18;5;0,1042;Редкое
10;12;13;0,2708;Частое
10;8;11;0,2292;Частое
10;3;10;0,2083;Частое
10;11;10;0,2083;Частое
10;17;9;0,1875;Частое
10;20;8;0,1667;Частое
10;1;8;0,1667;Частое
10;2;8;0,1667;Частое
10;14;8;0,1667;Частое
10;4;7;0,1458;Частое
10;7;7;0,1458;Редкое
10;6;7;0,1458;Редкое
10;10;6;0,125;Редкое
10;19;6;0,125;Редкое
10;16;5;0,1042;Редкое
10;18;5;0,1042;Редкое
10;5;5;0,1042;Редкое
10;9;4;0,0833;Редкое
10;15;4;0,0833;Редкое
10;13;3;0,0625;Редкое
11;15;14;0,2917;Частое
11;16;12;0,25;Частое
11;12;10;0,2083;Частое
11;17;9;0,1875;Частое
11;2;9;0,1875;Частое
11;8;9;0,1875;Частое
11;19;9;0,1875;Частое
11;6;8;0,1667;Частое
11;7;7;0,1458;Частое
11;20;7;0,1458;Частое
11;14;7;0,1458;Редкое
11;4;7;0,1458;Редкое
11;9;6;0,125;Редкое
11;5;6;0,125;Редкое
11;10;6;0,125;Редкое
11;3;5;0,1042;Редкое
11;11;5;0,1042;Редкое
11;13;3;0,0625;Редкое
11;18;3;0,0625;Редкое
11;1;2;0,0417;Редкое
12;8;11;0,2292;Частое
12;2;11;0,2292;Частое
12;4;9;0,1875;Частое
12;12;9;0,1875;Частое
12;16;9;0,1875;Частое
12;7;8;0,1667;Частое
12;13;8;0,1667;Частое
12;1;8;0,1667;Частое
12;15;7;0,1458;Частое
12;19;7;0,1458;Частое
12;9;7;0,1458;Редкое
