draw;date;№1;№2;№3;№4;№5;№6;№7;№8;№9;№10
5768;08.11.2025;;;;;;;;;;
;;*;*;1;*;1;1;*;*;*;*
;;*;1;*;*;*;1;*;*;*;*
;;1;*;1;1;*;*;*;1;*;*
;;*;*;*;*;1;*;*;1;*;*
;;1;*;*;1;*;*;1;1;1;1
;;*;*;*;1;*;*;*;*;1;1
;;;;;;;;;;;
5767;07.11.2025;;;;;;;;;;
;;1;*;2;*;2;1;1;*;1;*
;;*;1;*;*;*;2;1;*;*;*
;;2;1;1;1;*;*;1;1;*;1
;;1;*;1;1;1;*;*;1;*;*
;;2;*;*;1;1;*;2;1;1;1
;;*;1;1;1;*;1;*;*;1;1
;;;;;;;;;;;
5766;06.11.2025;;;;;;;;;;
;;1;*;2;1;3;2;2;*;1;*
;;1;1;*;*;*;3;1;*;1;*
;;3;1;2;1;*;*;1;2;*;1
;;1;1;2;1;2;*;1;2;*;*
;;2;*;*;2;2;*;2;1;1;2
;;*;1;1;2;*;1;1;*;1;1
;;;;;;;;;;;
5765;05.11.2025;;;;;;;;;;
;;1;1;2;1;4;2;2;*;1;*
;;1;1;*;1;*;4;1;1;2;*
;;3;1;2;1;1;*;2;2;*;2
;;2;2;3;1;2;*;1;2;1;*
;;3;*;*;2;2;1;2;1;2;3
;;*;1;2;2;*;2;1;1;1;1
;;;;;;;;;;;
5764;04.11.2025;;;;;;;;;;
;;1;1;2;2;4;3;3;*;1;*
;;1;2;1;2;1;4;1;2;2;*
;;4;1;2;1;1;*;3;2;1;2
;;2;3;4;1;2;*;2;2;1;*
;;3;*;1;2;2;1;3;1;3;3
;;1;1;2;3;*;2;1;2;1;1
;;;;;;;;;;;
5763;03.11.2025;;;;;;;;;;
;;2;1;2;3;4;4;4;1;1;*
;;1;2;1;2;1;4;1;3;2;1
;;4;1;2;1;1;*;4;2;1;3
;;3;3;4;1;3;1;2;2;1;*
;;4;1;1;2;2;2;3;1;4;4
;;1;2;2;3;1;2;2;2;1;1
;;;;;;;;;;;
5762;02.11.2025;;;;;;;;;;
;;2;1;2;3;4;4;5;1;1;*
;;1;3;1;2;2;5;2;3;2;2
;;4;2;2;1;2;1;5;2;1;3
;;3;3;5;1;3;1;3;2;1;*
;;5;1;1;2;3;3;4;1;4;4
;;2;3;2;4;1;3;2;2;1;1
;;;;;;;;;;;
5761;01.11.2025;;;;;;;;;;
;;2;2;2;3;5;5;5;1;1;1
;;1;4;1;2;2;5;2;3;2;3
;;4;3;2;2;2;1;5;3;2;3
;;3;4;5;1;3;1;4;2;1;1
;;5;2;2;2;3;3;4;2;4;4
;;3;4;2;4;1;3;2;3;2;1
Сброс;матрицы;;;;;;;;;;
;;;;;;;;;;;
5760;31.10.2025;;;;;;;;;;
;;*;1;1;*;1;*;*;1;1;*
;;1;*;*;*;1;*;*;*;*;*
;;1;*;*;*;*;1;*;*;*;*
;;*;*;1;*;*;1;*;*;1;*
;;*;1;*;1;*;1;*;1;*;*
;;*;*;1;*;1;*;1;*;1;*
;;;;;;;;;;;
5759;30.10.2025;;;;;;;;;;
;;1;1;1;*;1;1;*;1;1;*
;;2;*;1;*;1;*;*;1;1;*
;;2;*;1;*;1;1;*;*;1;*
;;1;*;2;*;*;1;*;*;1;*
;;*;2;*;1;1;2;1;2;*;*
;;*;*;2;*;1;*;2;*;2;*
;;;;;;;;;;;
